president,nth_day_in_office,delta
TRUMP 2,23,2.54282634934877
TRUMP 2,24,2.0252332664103756
TRUMP 2,25,2.813660741407431
TRUMP 2,26,2.4334394243171076
TRUMP 2,27,2.4334394243171076
TRUMP 2,28,2.4334394243171076
TRUMP 2,29,2.4334394243171076
TRUMP 2,30,2.4570322317760906
TRUMP 2,31,2.6208711724636347
TRUMP 2,32,1.5839373912195587
TRUMP 2,33,-0.1375327304213747
TRUMP 2,34,-0.1375327304213747
TRUMP 2,35,-0.1375327304213747
TRUMP 2,36,-0.06121252773477748
TRUMP 2,37,0.3065915222718596
TRUMP 2,38,-0.12580531150898633
TRUMP 2,39,-0.5710333212763263
TRUMP 2,40,0.8119053077608296
TRUMP 2,41,0.8119053077608296
TRUMP 2,42,0.8119053077608296
TRUMP 2,43,-0.6820068971020277
TRUMP 2,44,-2.223242686517135
TRUMP 2,45,-1.1066084465470083
TRUMP 2,46,-2.089665085611303
TRUMP 2,47,-1.5777057627386792
TRUMP 2,48,-1.5777057627386792
TRUMP 2,49,-1.5777057627386792
TRUMP 2,50,-3.6242783325817873
TRUMP 2,51,-4.723965302476573
TRUMP 2,52,-4.723965302476573
