Date,Name,Address,City,State,Zip,AOR,Type Detailed,Male/Female,FY25 ALOS,Level A,Level B,Level C,Level D,Male Crim,Male Non-Crim,Female Crim,Female Non-Crim,ICE Threat Level 1,ICE Threat Level 2,ICE Threat Level 3,No ICE Threat Level,Mandatory,Guaranteed Minimum,Last Inspection Type,Last Inspection End Date,Pending FY25 Inspection,Last Inspection Standard,Last Final Rating
2025-07-07,T DON HUTTO DETENTION CENTER,1001 WELCH STREET,TAYLOR,TX,76574,SNA,DIGSA,Male,52.295918,180.677419,37.028674,112.218638,69.086022,226.498208,172.508961,0.000000,0.003584,65.480287,50.186380,91.118280,192.225806,305.964158,461,ODO,12/19/2024,,PBNDS 2011 - 2016 Revised,Pass
2025-07-07,NORTHEAST OHIO CORRECTIONAL CENTER,2240 HUBBARD ROAD,YOUNGSTOWN,OH,44505,DET,USMS IGA,Male,23.421721,42.573477,17.003584,12.476703,10.265233,27.544803,54.759857,0.000000,0.014337,6.179211,3.455197,3.992832,68.691756,57.910394,,,,,,
2025-07-07,OTAY MESA DETENTION CENTER,7488 CALZADA DE LA FUENTE,SAN DIEGO,CA,92154,SND,CDF,Female/Male,30.238894,733.157706,415.369176,61.698925,60.286738,180.222222,852.315412,17.150538,220.824373,68.741935,30.405018,29.577061,1141.788530,527.985663,750,ODO,11/7/2024,,PBNDS 2011 - 2016 Revised,Pass
2025-07-07,CHASE COUNTY JAIL,301 SOUTH WALNUT STREET,COTTONWOOD FALL,KS,66845,CHI,IGSA,Female/Male,21.746008,26.688172,19.702509,32.250896,17.254480,49.681004,38.430108,3.888889,3.896057,9.698925,4.215054,4.827957,77.154122,84.136201,,ODO,3/13/2025,,NDS 2019,Pass
2025-07-07,CHIPPEWA COUNTY SSM,325 COURT STREET,SAULT STE MARIE,MI,49783,DET,IGSA,Female/Male,46.031447,11.756272,5.035842,6.827957,5.093190,10.602151,18.111111,0.000000,0.000000,3.605735,0.655914,0.788530,23.663082,23.584229,,ODO,4/3/2025,,NDS 2019,Pass
2025-07-07,CIBOLA COUNTY CORRECTIONAL CENTER,2000 CIBOLA LOOP,MILAN,NM,87021,ELP,IGSA,Male,38.952351,143.623656,51.788530,18.050179,9.727599,34.677419,188.448029,0.064516,0.000000,5.419355,2.827957,4.229391,210.713262,182.505376,,ODO,2/27/2025,,PBNDS 2011 - 2016 Revised,Pass
2025-07-07,CLARK COUNTY JAIL (IN),501 EAST COURT AVE.,JEFFERSONVILLE,IN,47130,CHI,USMS IGA,,26.311321,10.225806,4.853047,3.043011,2.806452,1.899642,3.211470,5.770609,10.046595,2.827957,1.412186,1.788530,14.899642,13.372760,,,,,,
2025-07-07,CLAY COUNTY JUSTICE CENTER,611 EAST JACKSON STREET,BRAZIL,IN,47834,CHI,USMS IGA,Female/Male,17.755217,64.956989,28.103943,85.946237,60.842294,129.716846,96.218638,8.064516,5.849462,27.286738,8.229391,10.154122,194.179211,173.129032,,ODO,6/27/2024,,NDS 2019,Pass
2025-07-07,CLINTON COUNTY JAIL,25 MCCARTHY DRIVE,PLATTSBURGH,NY,12901,BUF,USMS IGA,Female/Male,9.696721,2.132616,0.677419,1.784946,0.157706,0.387097,0.487455,1.315412,2.562724,0.000000,0.000000,0.931900,3.820789,2.838710,,ODO,6/6/2024,Scheduled,NDS 2019,Pass
2025-07-07,CLINTON COUNTY JAIL,301 E WALNUT STREET,FRANKFORT,IN,46041,CHI,USMS IGA,Female/Male,7.238095,1.093190,0.637993,0.774194,0.659498,1.491039,1.111111,0.136201,0.426523,0.688172,0.501792,0.229391,1.745520,1.835125,,,,,,
2025-07-07,CLINTON COUNTY CORRECTIONAL FACILITY,58 PINE MOUNTAIN RD.,MCELHATTAN,PA,17748,PHI,USMS IGA,Male,53.810474,5.677419,24.698925,31.870968,17.695341,67.218638,7.422939,3.354839,1.946237,23.652330,6.566308,1.326165,48.397849,65.860215,,ODO,1/16/2025,,NDS 2019,Pass
2025-07-07,COLLIER COUNTY NAPLES JAIL CENTER,3347 TAMIAMI TRAIL E,NAPLES,FL,34112,MIA,IGSA,Female/Male,2.298121,5.634409,1.688172,2.806452,1.637993,6.139785,5.086022,0.240143,0.301075,0.247312,0.254480,0.390681,10.874552,8.659498,,ODO,12/5/2024,,NDS 2019,Pass
2025-07-07,CAMPBELL CO DET CTR,601 CENTRAL AVE,NEWPORT,KY,41071,CHI,USMS IGA,,23.008130,8.921147,4.025090,6.612903,2.168459,8.727599,11.236559,0.225806,1.537634,1.892473,2.086022,2.881720,14.867384,13.261649,,,,,,
