facility_name,measured_on,level_a,level_b,level_c,level_d,male_crim,male_non_crim,female_crim,female_non_crim,ice_threat_level_1,ice_threat_level_2,ice_threat_level_3,no_ice_threat_level
SHERBURNE COUNTY JAIL,2025-06-09,18.656570692307696,32.54229638461542,39.229342615384596,11.718843461538462,46.70557769230772,49.737047076923076,3.6246040769230796,2.079805923076925,19.35292446153847,6.008901692307693,-1.4026076923076884,78.1877979230769
SOUTH CENTRAL REGIONAL JAIL,2025-01-06,0.14433,0.185567,1.226804,0.680412,2.020619,0.216495,0,0,0.257732,0,0.061856,1.917526
SOUTH CENTRAL REGIONAL JAIL,2025-01-21,2.7333106666666667,4.271895599999999,1.687813866666667,3.027708266666667,7.229022533333335,4.491699333333333,0,0,0.06388426666666665,0.7232000000000001,3.5734741333333337,7.360163466666665
SOUTH CENTRAL REGIONAL JAIL,2025-02-18,4.181338892857143,2.673225928571429,2.211696035714286,1.4639169285714289,6.212541535714286,4.317631214285714,0,0,2.1570830714285716,1.1232857142857142,0.9265415357142857,6.323267464285714
SOUTH CENTRAL REGIONAL JAIL,2025-03-03,7.115186692307693,4.793120923076922,3.242263153846153,2.7802352307692306,8.184874538461534,9.745954153846153,0,0,-1.3976884615384615,2.630517538461539,1.5445528461538454,15.153424076923075
SOUTH CENTRAL REGIONAL JAIL,2025-03-17,7.822046,5.524397000000001,4.732814999999998,0.49564199999999964,6.5160980000000075,12.058779,0,0,0.5721959999999991,-1.727528,-1.2975289999999993,21.027748999999996
SOUTH CENTRAL REGIONAL JAIL,2025-03-31,5.446253999999994,2.647697999999999,4.011707000000001,1.286368,5.579912000000003,7.812127000000004,0,0,1.0030140000000003,0.7165089999999995,0.8589970000000002,10.813506000000018
SOUTH CENTRAL REGIONAL JAIL,2025-04-14,5.0129460000000075,2.0726459999999998,5.517724999999997,0.6401200000000001,4.071003999999983,9.172432999999996,0,0,1.4333480000000003,1.0033829999999995,1.002324999999999,9.804393999999986
SOUTH CENTRAL REGIONAL JAIL,2025-05-12,6.2661139999999955,5.265241999999999,5.944876000000003,0.5330060000000003,6.080054000000002,11.929192,0,0,1.0019510000000003,1.0027360000000003,1.145383000000001,14.859168000000002
SOUTH CENTRAL REGIONAL JAIL,2025-05-27,5.342687266666667,1.9318912666666657,1.8629537999999988,-0.004466533333334155,3.5966709333333258,5.536379933333349,0,0,0.5999211333333316,1.002237866666667,0.7336827999999987,6.797224000000005
